============================================================
  Backend:    OpenAITrainer
  Experiment: medical-terms
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/old_medical_terms/dataset/old_medical_terms.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     medical-terms-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/old_medical_terms/dataset/old_medical_terms.jsonl ...
  Uploaded. File ID: file-46rJPjaQkU3QKEXQ51Yb5t
Creating fine-tuning job...
  Job created! ID: ftjob-xKpnRQ2oSpYD96RnkhV5K2ow
  Status: validating_files

Monitoring job ftjob-xKpnRQ2oSpYD96RnkhV5K2ow (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772547703] Created fine-tuning job: ftjob-xKpnRQ2oSpYD96RnkhV5K2ow
  [1772548269] Step 24/3417: training loss=4.25
  [1772548269] Step 25/3417: training loss=6.45
  [1772548269] Step 26/3417: training loss=6.47
  [1772548269] Step 27/3417: training loss=5.83
  [1772548269] Step 28/3417: training loss=4.88
  [1772548269] Step 29/3417: training loss=7.01
  [1772548276] Step 30/3417: training loss=5.36
  [1772548279] Step 31/3417: training loss=6.72
  [1772548279] Step 32/3417: training loss=5.48
  [1772548279] Step 33/3417: training loss=4.56
  [1772548279] Step 34/3417: training loss=4.77
  [1772548286] Step 35/3417: training loss=7.41
  [1772548287] Step 36/3417: training loss=6.38
  [1772548287] Step 37/3417: training loss=5.81
  [1772548287] Step 38/3417: training loss=4.03
  [1772548287] Step 39/3417: training loss=4.62
  [1772548287] Step 40/3417: training loss=4.66
  [1772548298] Step 41/3417: training loss=5.42
  [1772548299] Step 42/3417: training loss=5.52
  [1772548299] Step 43/3417: training loss=4.80
  [1772548299] Step 44/3417: training loss=4.19
  [1772548299] Step 45/3417: training loss=3.87
  [1772548299] Step 46/3417: training loss=3.88
  [1772548351] Step 47/3417: training loss=3.79
  [1772548352] Step 48/3417: training loss=4.08
  [1772548352] Step 49/3417: training loss=3.34
  [1772548360] Step 50/3417: training loss=3.90
  [1772548362] Step 51/3417: training loss=2.23
  [1772548362] Step 52/3417: training loss=4.23
  [1772548362] Step 53/3417: training loss=3.10
  [1772548362] Step 54/3417: training loss=2.93
  [1772548371] Step 55/3417: training loss=2.49
  [1772548372] Step 56/3417: training loss=3.99
  [1772548372] Step 57/3417: training loss=3.51
  [1772548372] Step 58/3417: training loss=4.32
  [1772548372] Step 59/3417: training loss=3.11
  [1772548372] Step 60/3417: training loss=3.04
  [1772548374] Step 61/3417: training loss=3.14
  [1772548374] Step 62/3417: training loss=3.87
  [1772548381] Step 63/3417: training loss=1.97
  [1772548382] Step 64/3417: training loss=1.64
  [1772548382] Step 65/3417: training loss=3.07
  [1772548382] Step 66/3417: training loss=2.74
  [1772548382] Step 67/3417: training loss=3.73
  [1772548389] Step 68/3417: training loss=2.90
  [1772548391] Step 69/3417: training loss=3.04
  [1772548391] Step 70/3417: training loss=2.83
  [1772548392] Step 71/3417: training loss=2.41
  [1772548392] Step 72/3417: training loss=2.47
  [1772548399] Step 73/3417: training loss=3.07
  [1772548400] Step 74/3417: training loss=3.88
  [1772548400] Step 75/3417: training loss=2.47
  [1772548400] Step 76/3417: training loss=1.52
  [1772548400] Step 77/3417: training loss=1.53
  [1772548400] Step 78/3417: training loss=2.63
  [1772548409] Step 79/3417: training loss=2.17
  [1772548411] Step 80/3417: training loss=2.04
  [1772548412] Step 81/3417: training loss=2.26
  [1772548412] Step 82/3417: training loss=1.72
  [1772548412] Step 83/3417: training loss=3.06
  [1772548412] Step 84/3417: training loss=1.66
  [1772548419] Step 85/3417: training loss=2.38
  [1772548420] Step 86/3417: training loss=1.82
  [1772548420] Step 87/3417: training loss=1.37
  [1772548420] Step 88/3417: training loss=1.80
  [1772548420] Step 89/3417: training loss=1.13
  [1772548428] Step 90/3417: training loss=1.52
  [1772548431] Step 91/3417: training loss=2.65
  [1772548431] Step 92/3417: training loss=1.84
  [1772548431] Step 93/3417: training loss=2.24
  [1772548431] Step 94/3417: training loss=1.36
  [1772548438] Step 95/3417: training loss=2.37
  [1772548442] Step 96/3417: training loss=2.00
  [1772548442] Step 97/3417: training loss=1.79
  [1772548442] Step 98/3417: training loss=1.17
  [1772548442] Step 99/3417: training loss=1.52
  [1772548442] Step 100/3417: training loss=1.55
  [1772548443] Step 101/3417: training loss=1.11
  [1772548450] Step 102/3417: training loss=1.09
  [1772548451] Step 103/3417: training loss=1.75
  [1772548451] Step 104/3417: training loss=1.41
  [1772548451] Step 105/3417: training loss=1.25
  [1772548451] Step 106/3417: training loss=1.69
  [1772548451] Step 107/3417: training loss=2.25
  [1772548459] Step 108/3417: training loss=2.10
  [1772548460] Step 109/3417: training loss=1.82
  [1772548460] Step 110/3417: training loss=1.23
  [1772548461] Step 111/3417: training loss=1.24
  [1772548461] Step 112/3417: training loss=1.07
  [1772548461] Step 113/3417: training loss=1.45
  [1772548468] Step 114/3417: training loss=1.66
  [1772548470] Step 115/3417: training loss=1.21
  [1772548470] Step 116/3417: training loss=1.04
  [1772548470] Step 117/3417: training loss=1.06
  [1772548470] Step 118/3417: training loss=0.91
  [1772548479] Step 119/3417: training loss=0.89
  [1772548480] Step 120/3417: training loss=1.35
  [1772548482] Step 121/3417: training loss=1.07
  [1772548482] Step 122/3417: training loss=1.13
  [1772548482] Step 123/3417: training loss=1.00
  [1772548482] Step 124/3417: training loss=1.47
  [1772548482] Step 125/3417: training loss=1.29
  [1772548489] Step 126/3417: training loss=1.32
  [1772548490] Step 127/3417: training loss=1.23
  [1772548490] Step 128/3417: training loss=1.12
  [1772548490] Step 129/3417: training loss=0.69
  [1772548490] Step 130/3417: training loss=2.04
  [1772548491] Step 131/3417: training loss=1.08
  [1772548498] Step 132/3417: training loss=1.31
  [1772548500] Step 133/3417: training loss=1.91
  [1772548500] Step 134/3417: training loss=1.09
  [1772548500] Step 135/3417: training loss=1.82
  [1772548500] Step 136/3417: training loss=1.39
  [1772548500] Step 137/3417: training loss=1.04
  [1772548507] Step 138/3417: training loss=1.08
  [1772548508] Step 139/3417: training loss=1.58
  [1772548508] Step 140/3417: training loss=1.51
  [1772548509] Step 141/3417: training loss=1.05
  [1772548511] Step 142/3417: training loss=1.45
  [1772548519] Step 143/3417: training loss=1.77
  [1772548520] Step 144/3417: training loss=1.77
  [1772548520] Step 145/3417: training loss=0.98
  [1772548520] Step 146/3417: training loss=0.89
  [1772548520] Step 147/3417: training loss=0.85
  [1772548520] Step 148/3417: training loss=1.90
  [1772548520] Step 149/3417: training loss=1.57
  [1772548527] Step 150/3417: training loss=1.21
  [1772548531] Step 151/3417: training loss=0.88
  [1772548531] Step 152/3417: training loss=0.91
  [1772548531] Step 153/3417: training loss=0.82
  [1772548531] Step 154/3417: training loss=1.87
  [1772548538] Step 155/3417: training loss=0.82
  [1772548539] Step 156/3417: training loss=1.08
  [1772548539] Step 157/3417: training loss=0.96
  [1772548539] Step 158/3417: training loss=1.02
  [1772548539] Step 159/3417: training loss=1.38
  [1772548539] Step 160/3417: training loss=1.26
  [1772548550] Step 161/3417: training loss=0.65
  [1772548551] Step 162/3417: training loss=0.79
  [1772548551] Step 163/3417: training loss=0.88
  [1772548551] Step 164/3417: training loss=0.78
  [1772548551] Step 165/3417: training loss=1.08
  [1772548551] Step 166/3417: training loss=0.90
  [1772548551] Step 167/3417: training loss=2.77
  [1772548558] Step 168/3417: training loss=2.10
  [1772548559] Step 169/3417: training loss=1.37
  [1772548559] Step 170/3417: training loss=1.34
  [1772548560] Step 171/3417: training loss=1.82
  [1772548560] Step 172/3417: training loss=0.96
  [1772548568] Step 173/3417: training loss=0.97
  [1772548569] Step 174/3417: training loss=1.11
  [1772548569] Step 175/3417: training loss=1.39
  [1772548569] Step 176/3417: training loss=0.92
  [1772548569] Step 177/3417: training loss=1.01
  [1772548569] Step 178/3417: training loss=1.01
  [1772548576] Step 179/3417: training loss=1.53
  [1772548577] Step 180/3417: training loss=1.18
  [1772548579] Step 181/3417: training loss=0.96
  [1772548579] Step 182/3417: training loss=1.78
  [1772548579] Step 183/3417: training loss=1.30
  [1772548588] Step 184/3417: training loss=1.08
  [1772548589] Step 185/3417: training loss=1.20
  [1772548589] Step 186/3417: training loss=0.98
  [1772548589] Step 187/3417: training loss=0.68
  [1772548589] Step 188/3417: training loss=1.47
  [1772548589] Step 189/3417: training loss=0.95
  [1772548589] Step 190/3417: training loss=1.19
  [1772548597] Step 191/3417: training loss=0.79
  [1772548599] Step 192/3417: training loss=0.94
  [1772548599] Step 193/3417: training loss=0.97
  [1772548599] Step 194/3417: training loss=1.08
  [1772548599] Step 195/3417: training loss=0.67
  [1772548599] Step 196/3417: training loss=0.65
  [1772548606] Step 197/3417: training loss=1.52
  [1772548607] Step 198/3417: training loss=2.43
  [1772548607] Step 199/3417: training loss=0.90
  [1772548607] Step 200/3417: training loss=1.04
  [1772548608] Step 201/3417: training loss=1.34
  [1772548616] Step 202/3417: training loss=1.35
  [1772548617] Step 203/3417: training loss=1.06
  [1772548617] Step 204/3417: training loss=0.98
  [1772548617] Step 205/3417: training loss=1.32
  [1772548617] Step 206/3417: training loss=0.95
  [1772548617] Step 207/3417: training loss=0.79
  [1772548626] Step 208/3417: training loss=0.73
  [1772548627] Step 209/3417: training loss=0.70
  [1772548627] Step 210/3417: training loss=0.64
  [1772548628] Step 211/3417: training loss=1.57
  [1772548628] Step 212/3417: training loss=1.30
  [1772548636] Step 213/3417: training loss=1.18
  [1772548637] Step 214/3417: training loss=1.81
  [1772548637] Step 215/3417: training loss=0.78
  [1772548637] Step 216/3417: training loss=1.20
  [1772548637] Step 217/3417: training loss=0.67
  [1772548637] Step 218/3417: training loss=0.99
  [1772548644] Step 219/3417: training loss=0.68
  [1772548645] Step 220/3417: training loss=1.04
  [1772548647] Step 221/3417: training loss=3.15
  [1772548647] Step 222/3417: training loss=1.86
  [1772548647] Step 223/3417: training loss=1.67
  [1772548654] Step 224/3417: training loss=0.89
  [1772548655] Step 225/3417: training loss=1.52
  [1772548655] Step 226/3417: training loss=1.43
  [1772548655] Step 227/3417: training loss=0.84
  [1772548655] Step 228/3417: training loss=1.15
  [1772548655] Step 229/3417: training loss=0.94
  [1772548664] Step 230/3417: training loss=1.71
  [1772548667] Step 231/3417: training loss=1.12
  [1772548667] Step 232/3417: training loss=0.84
  [1772548667] Step 233/3417: training loss=1.47
  [1772548667] Step 234/3417: training loss=1.10
  [1772548667] Step 235/3417: training loss=1.78
  [1772548674] Step 236/3417: training loss=1.60
  [1772548675] Step 237/3417: training loss=0.75
  [1772548675] Step 238/3417: training loss=0.99
  [1772548675] Step 239/3417: training loss=1.27
  [1772548675] Step 240/3417: training loss=1.75
  [1772548676] Step 241/3417: training loss=0.89
  [1772548684] Step 242/3417: training loss=0.77
  [1772548686] Step 243/3417: training loss=1.01
  [1772548686] Step 244/3417: training loss=1.86
  [1772548686] Step 245/3417: training loss=0.65
  [1772548686] Step 246/3417: training loss=0.79
  [1772548686] Step 247/3417: training loss=2.00
  [1772548686] Step 248/3417: training loss=1.22
  [1772548693] Step 249/3417: training loss=1.80
  [1772548694] Step 250/3417: training loss=2.14
  [1772548695] Step 251/3417: training loss=1.05
  [1772548697] Step 252/3417: training loss=0.98
  [1772548705] Step 253/3417: training loss=1.60
  [1772548706] Step 254/3417: training loss=0.97
  [1772548706] Step 255/3417: training loss=0.76
  [1772548706] Step 256/3417: training loss=1.52
  [1772548706] Step 257/3417: training loss=0.95
  [1772548706] Step 258/3417: training loss=0.80
  [1772548706] Step 259/3417: training loss=1.07
  [1772548713] Step 260/3417: training loss=1.52
  [1772548715] Step 261/3417: training loss=2.56
  [1772548715] Step 262/3417: training loss=1.42
  [1772548715] Step 263/3417: training loss=1.61
  [1772548715] Step 264/3417: training loss=1.57
  [1772548723] Step 265/3417: training loss=0.60
  [1772548724] Step 266/3417: training loss=1.51
  [1772548724] Step 267/3417: training loss=1.25
  [1772548724] Step 268/3417: training loss=1.44
  [1772548724] Step 269/3417: training loss=1.29
  [1772548724] Step 270/3417: training loss=0.88
  [1772548734] Step 271/3417: training loss=1.38
  [1772548736] Step 272/3417: training loss=0.83
  [1772548736] Step 273/3417: training loss=0.83
  [1772548736] Step 274/3417: training loss=1.05
  [1772548736] Step 275/3417: training loss=1.06
  [1772548736] Step 276/3417: training loss=1.43
  [1772548736] Step 277/3417: training loss=1.16
  [1772548743] Step 278/3417: training loss=1.52
  [1772548744] Step 279/3417: training loss=1.02
  [1772548744] Step 280/3417: training loss=0.92
  [1772548745] Step 281/3417: training loss=0.91
  [1772548745] Step 282/3417: training loss=0.85
  [1772548752] Step 283/3417: training loss=0.99
  [1772548754] Step 284/3417: training loss=1.34
  [1772548754] Step 285/3417: training loss=1.87
  [1772548754] Step 286/3417: training loss=1.07
  [1772548754] Step 287/3417: training loss=2.37
  [1772548754] Step 288/3417: training loss=0.74
  [1772548761] Step 289/3417: training loss=1.31
  [1772548762] Step 290/3417: training loss=0.84
  [1772548763] Step 291/3417: training loss=0.95
  [1772548763] Step 292/3417: training loss=1.11
  [1772548763] Step 293/3417: training loss=1.28
  [1772548772] Step 294/3417: training loss=1.17
  [1772548774] Step 295/3417: training loss=0.91
  [1772548774] Step 296/3417: training loss=0.75
  [1772548774] Step 297/3417: training loss=1.34
  [1772548774] Step 298/3417: training loss=1.69
  [1772548774] Step 299/3417: training loss=0.83
  [1772548774] Step 300/3417: training loss=0.99
  [1772548782] Step 301/3417: training loss=1.25
  [1772548783] Step 302/3417: training loss=0.84
  [1772548783] Step 303/3417: training loss=1.08
  [1772548783] Step 304/3417: training loss=1.44
  [1772548783] Step 305/3417: training loss=1.74
  [1772548783] Step 306/3417: training loss=1.05
  [1772548791] Step 307/3417: training loss=0.82
  [1772548792] Step 308/3417: training loss=0.89
  [1772548792] Step 309/3417: training loss=1.35
  [1772548792] Step 310/3417: training loss=1.01
  [1772548793] Step 311/3417: training loss=0.75
  [1772548800] Step 312/3417: training loss=1.19
  [1772548801] Step 313/3417: training loss=1.13
  [1772548801] Step 314/3417: training loss=1.03
  [1772548801] Step 315/3417: training loss=0.94
  [1772548801] Step 316/3417: training loss=1.33
  [1772548801] Step 317/3417: training loss=0.97
  [1772548811] Step 318/3417: training loss=1.75
  [1772548812] Step 319/3417: training loss=0.86
  [1772548812] Step 320/3417: training loss=0.69
  [1772548813] Step 321/3417: training loss=1.01
  [1772548813] Step 322/3417: training loss=0.91
  [1772548813] Step 323/3417: training loss=0.81
  [1772548820] Step 324/3417: training loss=0.65
  [1772548822] Step 325/3417: training loss=1.52
  [1772548822] Step 326/3417: training loss=0.98
  [1772548822] Step 327/3417: training loss=1.33
  [1772548822] Step 328/3417: training loss=1.09
  [1772548822] Step 329/3417: training loss=1.64
  [1772548829] Step 330/3417: training loss=1.08
  [1772548831] Step 331/3417: training loss=1.60
  [1772548831] Step 332/3417: training loss=1.05
  [1772548831] Step 333/3417: training loss=0.81
  [1772548831] Step 334/3417: training loss=0.62
  [1772548838] Step 335/3417: training loss=1.13
  [1772548840] Step 336/3417: training loss=1.12
  [1772548840] Step 337/3417: training loss=0.97
  [1772548840] Step 338/3417: training loss=0.67
  [1772548840] Step 339/3417: training loss=1.15
  [1772548849] Step 340/3417: training loss=2.08
  [1772548852] Step 341/3417: training loss=1.71
  [1772548852] Step 342/3417: training loss=0.93
  [1772548852] Step 343/3417: training loss=0.93
  [1772548852] Step 344/3417: training loss=1.14
  [1772548852] Step 345/3417: training loss=1.32
  [1772548852] Step 346/3417: training loss=0.64
  [1772548859] Step 347/3417: training loss=1.66
  [1772548860] Step 348/3417: training loss=0.94
  [1772548860] Step 349/3417: training loss=0.95
  [1772548860] Step 350/3417: training loss=1.18
  [1772548869] Step 351/3417: training loss=0.70
  [1772548870] Step 352/3417: training loss=1.07
  [1772548870] Step 353/3417: training loss=0.83
  [1772548870] Step 354/3417: training loss=1.87
  [1772548870] Step 355/3417: training loss=1.19
  [1772548870] Step 356/3417: training loss=1.47
  [1772548877] Step 357/3417: training loss=1.09
  [1772548878] Step 358/3417: training loss=1.45
  [1772548878] Step 359/3417: training loss=0.78
  [1772548878] Step 360/3417: training loss=1.56
  [1772548880] Step 361/3417: training loss=0.95
  [1772548889] Step 362/3417: training loss=1.31
  [1772548890] Step 363/3417: training loss=1.04
  [1772548890] Step 364/3417: training loss=1.75
  [1772548890] Step 365/3417: training loss=2.03
  [1772548890] Step 366/3417: training loss=0.78
  [1772548890] Step 367/3417: training loss=0.88
  [1772548890] Step 368/3417: training loss=1.04
  [1772548897] Step 369/3417: training loss=0.82
  [1772548898] Step 370/3417: training loss=0.75
  [1772548900] Step 371/3417: training loss=0.97
  [1772548900] Step 372/3417: training loss=1.41
  [1772548900] Step 373/3417: training loss=0.98
  [1772548907] Step 374/3417: training loss=1.02
  [1772548908] Step 375/3417: training loss=1.29
  [1772548908] Step 376/3417: training loss=2.66
  [1772548908] Step 377/3417: training loss=1.23
  [1772548908] Step 378/3417: training loss=1.15
  [1772548908] Step 379/3417: training loss=2.16
  [1772548917] Step 380/3417: training loss=1.14
  [1772548920] Step 381/3417: training loss=1.49
  [1772548920] Step 382/3417: training loss=1.18
  [1772548920] Step 383/3417: training loss=0.90
  [1772548920] Step 384/3417: training loss=0.83
  [1772548920] Step 385/3417: training loss=1.33
  [1772548927] Step 386/3417: training loss=2.05
  [1772548928] Step 387/3417: training loss=1.33
  [1772548928] Step 388/3417: training loss=0.95
  [1772548928] Step 389/3417: training loss=1.02
  [1772548928] Step 390/3417: training loss=0.97
  [1772548929] Step 391/3417: training loss=0.96
  [1772548937] Step 392/3417: training loss=1.69
  [1772548938] Step 393/3417: training loss=2.79
  [1772548938] Step 394/3417: training loss=1.13
  [1772548938] Step 395/3417: training loss=1.32
  [1772548938] Step 396/3417: training loss=1.92
  [1772548938] Step 397/3417: training loss=1.48
  [1772548945] Step 398/3417: training loss=1.46
  [1772548946] Step 399/3417: training loss=0.91
  [1772548946] Step 400/3417: training loss=1.08
  [1772548948] Step 401/3417: training loss=0.86
  [1772548950] Step 402/3417: training loss=1.53
  [1772548957] Step 403/3417: training loss=1.92
  [1772548958] Step 404/3417: training loss=1.07
  [1772548958] Step 405/3417: training loss=0.99
  [1772548958] Step 406/3417: training loss=0.81
  [1772548958] Step 407/3417: training loss=1.37
  [1772548958] Step 408/3417: training loss=1.92
  [1772548958] Step 409/3417: training loss=1.57
  [1772548965] Step 410/3417: training loss=0.95
  [1772548968] Step 411/3417: training loss=0.99
  [1772548968] Step 412/3417: training loss=0.60
  [1772548968] Step 413/3417: training loss=1.01
  [1772548968] Step 414/3417: training loss=1.21
  [1772548975] Step 415/3417: training loss=1.04
  [1772548977] Step 416/3417: training loss=1.05
  [1772548977] Step 417/3417: training loss=0.57
  [1772548977] Step 418/3417: training loss=0.85
  [1772548977] Step 419/3417: training loss=1.34
  [1772548986] Step 420/3417: training loss=1.20
  [1772548988] Step 421/3417: training loss=1.69
  [1772548988] Step 422/3417: training loss=0.66
  [1772548988] Step 423/3417: training loss=1.14
  [1772548988] Step 424/3417: training loss=0.72
  [1772548988] Step 425/3417: training loss=0.80
  [1772548988] Step 426/3417: training loss=0.87
  [1772548995] Step 427/3417: training loss=1.10
  [1772548997] Step 428/3417: training loss=0.84
  [1772548997] Step 429/3417: training loss=0.99
  [1772548997] Step 430/3417: training loss=1.34
  [1772548998] Step 431/3417: training loss=0.84
  [1772549005] Step 432/3417: training loss=1.89
  [1772549006] Step 433/3417: training loss=2.18
  [1772549006] Step 434/3417: training loss=0.98
  [1772549006] Step 435/3417: training loss=1.41
  [1772549006] Step 436/3417: training loss=0.78
  [1772549006] Step 437/3417: training loss=1.87
  [1772549014] Step 438/3417: training loss=1.77
  [1772549015] Step 439/3417: training loss=1.87
  [1772549015] Step 440/3417: training loss=1.31
  [1772549016] Step 441/3417: training loss=1.35
  [1772549018] Step 442/3417: training loss=0.90
  [1772549025] Step 443/3417: training loss=1.51
  [1772549026] Step 444/3417: training loss=1.96
  [1772549026] Step 445/3417: training loss=0.97
  [1772549026] Step 446/3417: training loss=1.64
  [1772549026] Step 447/3417: training loss=1.40
  [1772549026] Step 448/3417: training loss=0.73
  [1772549026] Step 449/3417: training loss=1.66
  [1772549034] Step 450/3417: training loss=0.87
  [1772549037] Step 451/3417: training loss=1.57
  [1772549037] Step 452/3417: training loss=1.00
  [1772549037] Step 453/3417: training loss=0.92
  [1772549037] Step 454/3417: training loss=0.80
  [1772549045] Step 455/3417: training loss=0.80
  [1772549046] Step 456/3417: training loss=0.98
  [1772549046] Step 457/3417: training loss=1.91
  [1772549046] Step 458/3417: training loss=0.93
  [1772549046] Step 459/3417: training loss=1.00
  [1772549046] Step 460/3417: training loss=0.92
  [1772549056] Step 461/3417: training loss=1.49
  [1772549058] Step 462/3417: training loss=0.57
  [1772549058] Step 463/3417: training loss=1.33
  [1772549058] Step 464/3417: training loss=0.66
  [1772549058] Step 465/3417: training loss=1.16
  [1772549058] Step 466/3417: training loss=1.06
  [1772549058] Step 467/3417: training loss=2.24
  [1772549058] Step 468/3417: training loss=1.11
  [1772549065] Step 469/3417: training loss=1.27
  [1772549090] Step 470/3417: training loss=1.14
  [1772549100] Step 471/3417: training loss=1.64
  [1772549101] Step 472/3417: training loss=0.80
  [1772549101] Step 473/3417: training loss=1.21
  [1772549101] Step 474/3417: training loss=0.85
  [1772549101] Step 475/3417: training loss=0.80
  [1772549101] Step 476/3417: training loss=0.92
  [1772549108] Step 477/3417: training loss=0.60
  [1772549109] Step 478/3417: training loss=2.59
  [1772549109] Step 479/3417: training loss=0.84
  [1772549109] Step 480/3417: training loss=0.99
  [1772549110] Step 481/3417: training loss=1.79
  [1772549118] Step 482/3417: training loss=0.90
  [1772549119] Step 483/3417: training loss=1.07
  [1772549119] Step 484/3417: training loss=1.59
